557.8			240.7		1.3		237.9		243.05
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
165			511.2		3		504		517
1103.6		609.6		1.5		603		615
135.2			768.8		2		756.5		774
76.3 			784.6 	2 		780.8		 789
76.10 		910.1 	2 		904.7 	 917.1
96			935		1.25		927		940
290			1121		1.5		1115.5	1127
114			1239		2		1232 		1242
86 			1376.3 	3 		1370 		1383
641.5			1462.3	2		1455		1467
46 			1508 		1.25		 1502.25 	1514.7
25			1662		2.34		1655		1668
52.8			1730.5	2.5		1725		1735
240			1766		2.25		1760		1771
35			1848.7	2.25		1843.25	1855.5
15 			2103 		1 		2095 		2111.4
24			2119.5	3		2113.5	2126.5
65			2205.5	3		2199		2213
23			2449.3	2.25		2439.8	2457
105 			2613 		2.5 		2600 		2624		
